Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,120,200,22,8830,329,49.6,16345,54.02,25,46,1105,48,81,0
ODIs,378,350,53,11739,137*,39.52,15812,74.24,10,83,971,144,113,0
T20Is,1,1,1,11,11*,-,15,73.33,0,0,0,1,0,0
