Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,27,48,1,1716,156,36.51,1973,86.97,5,8,220,52,10,0
ODIs,398,369,27,8064,124,23.57,6892,117,6,39,730,351,127,0
T20I,98,90,12,1405,54*,18.01,932,150.75,0,4,102,73,30,0
