Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,59,112,8,4838,302*,46.51,11563,41.84,13,25,451,13,59,0
ODIs,45,45,3,1605,102,38.21,2140,75,3,9,146,11,6,0
First-class,149,258,25,9631,302*,41.33,,,31,39,,,128,0
