Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,90,156,12,7530,223,52.29,14372,52.39,24,33,957,51,65,0
ODIs,288,273,40,9720,141*,41.71,12942,75.1,15,64,785,90,58,0
T20Is,3,3,0,50,26,16.66,43,116.27,0,0,5,1,1,0
