Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,16,30,2,1003,129,35.82,1520,65.98,1,6,117,17,12,0
ODIs,116,105,17,3044,102*,34.59,3542,85.94,2,20,260,50,77,13
T20Is,82,77,14,1690,94,26.82,1375,122.9,0,8,122,55,49,2
