Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,25,45,4646,2680,78,May-63,7/134,34.35,3.46,59.5,2,2,0
ODIs,78,77,3643,3416,102,May-46,May-46,33.49,5.62,35.7,4,1,0
T20Is,27,27,543,723,28,18-Mar,18-Mar,25.82,7.98,19.3,0,0,0
