Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,22,37,3918,1874,54,May-84,8/118,34.7,2.86,72.5,2,1,0
ODIs,163,159,8012,5721,182,Jul-37,Jul-37,31.43,4.28,44,2,4,0
First-class,121,,19267,9546,358,Sep-51,,26.66,2.97,53.8,,19,5
