Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,55,91,2,4052,188*,45.52,7265,55.77,11,25,535,14,18,0
ODIs,247,244,19,8824,194,39.21,10938,80.67,20,43,938,97,42,0
First-class,146,232,7,10169,221,45.19,,,30,51,,,65,0
