Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,52,89,12532,6100,185,Jul-56,10/106,32.97,2.92,67.7,6,10,3
ODIs,144,142,7543,5361,161,May-36,May-36,33.29,4.26,46.8,3,1,0
First-class,309,,70759,36127,1407,Sep-48,,25.67,3.06,50.2,,104,32
