Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,87,154,16224,8788,373,Jul-76,13/135,23.56,3.25,43.4,28,22,5
ODIs,262,258,12698,9919,416,Jul-36,Jul-36,23.84,4.68,30.5,14,13,0
First-class,228,,39182,21350,956,17-Aug,,22.33,3.26,40.9,,63,14
