Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,46,76,7008,3694,100,May-35,7/155,36.94,3.16,70,4,1,0
ODIs,265,254,10941,8564,269,Jun-35,Jun-35,31.83,4.69,40.6,8,3,0
T20Is,32,22,339,395,20,13-Mar,13-Mar,19.75,6.99,16.9,0,0,0
