Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,88,142,19458,8258,362,Aug-58,14/116,22.81,2.54,53.7,17,23,6
ODIs,175,153,7461,4844,182,14-Jun,14-Jun,26.61,3.89,40.9,3,1,0
First-class,382,,65224,28726,1287,Aug-34,,22.32,2.64,50.6,,70,13
