Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,46,82,8143,4574,178,11-Jun,Nov-78,25.69,3.37,45.7,10,12,2
ODIs,163,162,7764,6169,247,16-Jun,16-Jun,24.97,4.76,31.4,6,4,0
T20Is,15,15,318,432,19,Mar-38,Mar-38,22.73,8.15,16.7,0,0,0
