Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,76,96,5967,2532,66,Jun-32,Jun-38,38.36,2.54,90.4,1,1,0
ODIs,122,104,4855,3432,111,28-May,28-May,30.91,4.24,43.7,1,1,0
First-class,220,,12465,5281,153,Jun-32,,34.51,2.54,81.4,,2,0
