Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,50,96,8,3452,224,39.22,6128,56.33,9,12,429,28,43,0
ODIs,185,185,10,5728,140*,32.73,7615,75.21,11,31,588,88,70,0
T20Is,78,76,4,1619,86,22.48,1415,114.41,0,9,175,39,22,0
