Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,74,130,20,5161,161*,46.91,11564,44.62,10,38,505,80,49,0
ODIs,162,149,31,5122,96*,43.4,6945,73.75,0,42,342,83,66,0
T20Is,39,34,13,788,87*,37.52,715,110.2,0,3,45,26,14,0
