Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,35,60,6,1898,245,35.14,4155,45.67,3,8,239,17,18,0
ODIs,247,224,35,6711,143,35.5,8219,81.65,9,39,552,97,89,0
T20Is,86,80,22,1625,75,28.01,1423,114.19,0,5,138,34,35,0
