Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,49,86,14070,6206,208,8/164,10/155,29.83,2.64,67.6,12,13,3
ODIs,169,165,8770,6275,288,20-May,20-May,21.78,4.29,30.4,11,6,0
First-class,194,,44634,19630,833,Aug-65,,23.56,2.63,53.5,,60,15
