Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,35,61,12,2034,112,41.51,2764,73.58,3,12,210,6,92,17
ODIs,70,55,11,1568,105,35.63,1766,88.78,2,6,121,7,62,22
T20Is,29,20,8,359,76*,29.91,303,118.48,0,2,36,4,14,3
